name,mes,maxC,minC,rocioC,hum_rel,velo_vien_kph,vien_grad_sex,nubosidad%,radiac_solar_watios_m2,energ_solar_MJ_m2,clase hoy,clase manana
Lima,3,24,17,17.1,86.2,14.8,224.8,75.1,279.4,24.1,parcialmente nublado,lluvioso
Lima,4,24,19,17.7,82,16.6,196.4,76.1,267.1,23,parcialmente nublado,parcialmente nublado
Lima,4,23,18,17.5,84.5,18.4,178,73.1,265,22.8,parcialmente nublado,parcialmente nublado
Lima,4,24,18.9,17.3,82.2,18.4,174.2,66.1,289.5,25,parcialmente nublado,parcialmente nublado
Lima,4,24.1,17,17,85.3,14.8,202.5,72.7,202.1,17.7,parcialmente nublado,parcialmente nublado
Lima,4,25,18.7,17.4,82.9,20.5,179.2,61.3,274.4,23.7,parcialmente nublado,parcialmente nublado
Lima,4,23,16.8,17.4,84.8,18.4,178.6,67.7,123.6,10.8,parcialmente nublado,parcialmente nublado
Lima,4,25.7,19,18.2,83,16.6,177.4,72,229.2,19.8,parcialmente nublado,parcialmente nublado
Lima,4,24,18,18,87.4,14.8,187.7,70.7,209.4,18.1,parcialmente nublado,parcialmente nublado
Lima,4,26,18,18.1,84,16.6,191.4,66.5,258.4,22.3,parcialmente nublado,parcialmente nublado
Lima,4,24,17.9,17.6,88,18.4,183.8,73.6,268.7,23.2,parcialmente nublado,parcialmente nublado
Lima,4,24,16.7,17.3,87.6,18.4,198,78.2,251.1,21.6,parcialmente nublado,parcialmente nublado
Lima,4,22.1,17.9,17.2,89.4,13,210.2,78.6,253.9,21.9,parcialmente nublado,parcialmente nublado
Lima,4,25,16.9,17.2,85,13,184.4,66.6,280.2,24.2,parcialmente nublado,parcialmente nublado
Lima,4,25,17.9,17.3,81.4,20.5,177.1,59.8,276.1,23.9,parcialmente nublado,parcialmente nublado
Lima,4,24.1,18,16.8,81.1,20.5,183.7,73.6,126.1,11,parcialmente nublado,parcialmente nublado
Lima,4,23,17.9,16.5,81.2,22.3,182.8,72.1,227.2,19.8,parcialmente nublado,parcialmente nublado
Lima,4,24,17.8,17.1,83.4,14.8,186.9,58.5,263.8,22.7,parcialmente nublado,parcialmente nublado
Lima,4,24,18.1,17.4,81.1,18.4,185.3,57.5,232,19.9,parcialmente nublado,parcialmente nublado
Lima,4,23,18,17.3,82.9,20.7,176.7,48.9,265.2,22.8,parcialmente nublado,parcialmente nublado
Lima,4,22.9,17.9,17.1,85.1,14.8,206.3,64.5,262.1,22.5,parcialmente nublado,parcialmente nublado
Lima,4,24,17.9,17.4,85.8,13,193.6,44.9,249.1,21.5,parcialmente nublado,parcialmente nublado
Lima,4,24,18,17.4,82.9,18.4,171.4,54,254.5,22,parcialmente nublado,parcialmente nublado
Lima,4,24,18,17.4,82.3,20.5,175.6,63.8,163.7,14.2,parcialmente nublado,parcialmente nublado
Lima,4,23,18,17,81.8,24.1,174.7,61.3,254.1,21.9,parcialmente nublado,parcialmente nublado
Lima,4,23,17.9,16.8,81.9,14.8,184.9,65.3,237.6,20.6,parcialmente nublado,parcialmente nublado
Lima,4,23,18,16.9,81.1,16.6,179.3,56.2,252.3,21.9,parcialmente nublado,parcialmente nublado
Lima,4,24,18,17.2,83.8,20.5,173.4,63.2,261.6,22.7,parcialmente nublado,parcialmente nublado
Lima,4,24,18,17.1,81.6,18.4,179.1,47.7,268,23,parcialmente nublado,parcialmente nublado
Lima,4,24,18,17.2,82.5,14.8,182.7,47,271.2,23.4,parcialmente nublado,parcialmente nublado
Lima,4,24,17.9,16.8,80.7,16.6,183.6,47.4,267.5,23.1,parcialmente nublado,parcialmente nublado
Lima,5,23,17.9,16.5,79.9,22.3,175.6,25.2,270.2,23.4,parcialmente nublado,parcialmente nublado
Lima,5,23,17,16.3,80.8,18.4,178,30.3,261,22.6,parcialmente nublado,parcialmente nublado
Lima,5,22,17,15.9,81.7,16.6,182.2,59.7,265.8,22.9,parcialmente nublado,parcialmente nublado
Lima,5,22,17,15.9,82.6,14.8,214.2,79.5,269.5,23.3,parcialmente nublado,parcialmente nublado
Lima,5,24,18,15.9,77.8,16.6,173.3,64.6,265.1,22.8,parcialmente nublado,parcialmente nublado
Lima,5,23,16.9,16.2,80.6,18.4,178.8,22,263,22.7,parcialmente nublado,parcialmente nublado
Lima,5,24,17.8,16.6,78.3,25.9,171.3,43.6,253.6,22,parcialmente nublado,parcialmente nublado
Lima,5,24,18,16.5,79.3,20.5,171,24.5,260.6,22.6,parcialmente nublado,parcialmente nublado
Lima,5,22,17.8,16.5,83.3,13,245.5,66.7,238.9,20.7,parcialmente nublado,parcialmente nublado
Lima,5,23,18,17.2,83.6,24.1,186.7,43.4,257.2,22.3,parcialmente nublado,parcialmente nublado
Lima,5,21,18,16.6,83.9,13,230.7,97.9,254.2,22,nublado,parcialmente nublado
Lima,5,24,19,16.6,78.8,14.8,192.6,96.1,250.2,21.7,nublado,nublado
Lima,5,24.1,19,16.9,78.6,13,203.1,88.5,247.1,21.4,parcialmente nublado,nublado
